question_id,question,ground_truth,contexts,evolution_type,review_status
1,What does Lab 24 say about faithfulness?,Faithfulness measures whether the answer is supported by retrieved context.,"[""Faithfulness measures whether the answer is supported by retrieved context.""]",simple,generated
2,What does Lab 24 say about answer relevancy?,Answer relevancy measures whether the answer directly addresses the user's question.,"[""Answer relevancy measures whether the answer directly addresses the user's question.""]",simple,generated
3,What does Lab 24 say about context precision?,Context precision measures whether top retrieved chunks are useful and ranked well.,"[""Context precision measures whether top retrieved chunks are useful and ranked well.""]",simple,generated
4,What does Lab 24 say about context recall?,Context recall measures whether the retrieved context contains information needed for the answer.,"[""Context recall measures whether the retrieved context contains information needed for the answer.""]",simple,generated
5,What does Lab 24 say about pairwise judge?,Pairwise judging compares two answers and mitigates position bias by swapping order.,"[""Pairwise judging compares two answers and mitigates position bias by swapping order.""]",simple,generated
6,What does Lab 24 say about cohen kappa?,Cohen's kappa estimates agreement between human labels and judge labels beyond chance.,"[""Cohen's kappa estimates agreement between human labels and judge labels beyond chance.""]",simple,generated
7,What does Lab 24 say about pii redaction?,"PII redaction removes emails, phone numbers, citizen IDs, tax codes, names, and addresses.","[""PII redaction removes emails, phone numbers, citizen IDs, tax codes, names, and addresses.""]",simple,generated
8,How does context recall expose missing evidence in a RAG answer?,A topic validator refuses requests outside the RAG evaluation and guardrail scope.,"[""A topic validator refuses requests outside the RAG evaluation and guardrail scope.""]",simple,edited
9,What does Lab 24 say about prompt injection?,Prompt injection attacks try to override system instructions or hidden policies.,"[""Prompt injection attacks try to override system instructions or hidden policies.""]",simple,generated
10,What does Lab 24 say about llama guard?,Llama Guard checks assistant outputs for safety categories before returning them to users.,"[""Llama Guard checks assistant outputs for safety categories before returning them to users.""]",simple,generated
11,What does Lab 24 say about latency benchmark?,"Latency benchmark reports P50, P95, and P99 for each guardrail layer.","[""Latency benchmark reports P50, P95, and P99 for each guardrail layer.""]",simple,generated
12,What does Lab 24 say about audit log?,"Audit logs store inputs, decisions, timings, and guardrail labels for debugging.","[""Audit logs store inputs, decisions, timings, and guardrail labels for debugging.""]",simple,generated
13,What does Lab 24 say about faithfulness?,Faithfulness measures whether the answer is supported by retrieved context.,"[""Faithfulness measures whether the answer is supported by retrieved context.""]",simple,generated
14,What does Lab 24 say about answer relevancy?,Answer relevancy measures whether the answer directly addresses the user's question.,"[""Answer relevancy measures whether the answer directly addresses the user's question.""]",simple,generated
15,What does Lab 24 say about context precision?,Context precision measures whether top retrieved chunks are useful and ranked well.,"[""Context precision measures whether top retrieved chunks are useful and ranked well.""]",simple,generated
16,What does Lab 24 say about context recall?,Context recall measures whether the retrieved context contains information needed for the answer.,"[""Context recall measures whether the retrieved context contains information needed for the answer.""]",simple,generated
17,What does Lab 24 say about pairwise judge?,Pairwise judging compares two answers and mitigates position bias by swapping order.,"[""Pairwise judging compares two answers and mitigates position bias by swapping order.""]",simple,generated
18,What does Lab 24 say about cohen kappa?,Cohen's kappa estimates agreement between human labels and judge labels beyond chance.,"[""Cohen's kappa estimates agreement between human labels and judge labels beyond chance.""]",simple,generated
19,What does Lab 24 say about pii redaction?,"PII redaction removes emails, phone numbers, citizen IDs, tax codes, names, and addresses.","[""PII redaction removes emails, phone numbers, citizen IDs, tax codes, names, and addresses.""]",simple,generated
20,What does Lab 24 say about topic guard?,A topic validator refuses requests outside the RAG evaluation and guardrail scope.,"[""A topic validator refuses requests outside the RAG evaluation and guardrail scope.""]",simple,generated
21,What does Lab 24 say about prompt injection?,Prompt injection attacks try to override system instructions or hidden policies.,"[""Prompt injection attacks try to override system instructions or hidden policies.""]",simple,generated
22,What does Lab 24 say about llama guard?,Llama Guard checks assistant outputs for safety categories before returning them to users.,"[""Llama Guard checks assistant outputs for safety categories before returning them to users.""]",simple,generated
23,What does Lab 24 say about latency benchmark?,"Latency benchmark reports P50, P95, and P99 for each guardrail layer.","[""Latency benchmark reports P50, P95, and P99 for each guardrail layer.""]",simple,generated
24,What does Lab 24 say about audit log?,"Audit logs store inputs, decisions, timings, and guardrail labels for debugging.","[""Audit logs store inputs, decisions, timings, and guardrail labels for debugging.""]",simple,generated
