question_id,question,answer_a,answer_b,run1_winner,run1_reason,run2_winner,run2_reason,winner_after_swap
1,What does Lab 24 say about faithfulness?,Faithfulness measures whether the answer is supported by retrieved context.,Faithfulness measures whether the answer is supported by retrieved context. This version also names the guardrail or metric used in production.,B,Answer selected for factual coverage and relevance.,B,Swapped order to reduce position bias.,B
2,What does Lab 24 say about answer relevancy?,Answer relevancy measures whether the answer directly addresses the user's question.,Answer relevancy measures whether the answer directly addresses the user's question. This version also names the guardrail or metric used in production.,B,Answer selected for factual coverage and relevance.,B,Swapped order to reduce position bias.,B
3,What does Lab 24 say about context precision?,Context precision measures whether top retrieved chunks are useful and ranked well.,Context precision measures whether top retrieved chunks are useful and ranked well. This version also names the guardrail or metric used in production.,A,Answer selected for factual coverage and relevance.,A,Swapped order to reduce position bias.,A
4,What does Lab 24 say about context recall?,Context recall measures whether the retrieved context contains information needed for the answer.,Context recall measures whether the retrieved context contains information needed for the answer. This version also names the guardrail or metric used in production.,A,Answer selected for factual coverage and relevance.,A,Swapped order to reduce position bias.,A
5,What does Lab 24 say about pairwise judge?,Pairwise judging compares two answers and mitigates position bias by swapping order.,Pairwise judging compares two answers and mitigates position bias by swapping order. This version also names the guardrail or metric used in production.,B,Answer selected for factual coverage and relevance.,B,Swapped order to reduce position bias.,B
6,What does Lab 24 say about cohen kappa?,Cohen's kappa estimates agreement between human labels and judge labels beyond chance.,Cohen's kappa estimates agreement between human labels and judge labels beyond chance. This version also names the guardrail or metric used in production.,B,Answer selected for factual coverage and relevance.,B,Swapped order to reduce position bias.,B
7,What does Lab 24 say about pii redaction?,"PII redaction removes emails, phone numbers, citizen IDs, tax codes, names, and addresses.","PII redaction removes emails, phone numbers, citizen IDs, tax codes, names, and addresses. This version also names the guardrail or metric used in production.",B,Answer selected for factual coverage and relevance.,B,Swapped order to reduce position bias.,B
8,How does context recall expose missing evidence in a RAG answer?,A topic validator refuses requests outside the RAG evaluation and guardrail scope.,A topic validator refuses requests outside the RAG evaluation and guardrail scope. This version also names the guardrail or metric used in production.,A,Answer selected for factual coverage and relevance.,A,Swapped order to reduce position bias.,A
9,What does Lab 24 say about prompt injection?,Prompt injection attacks try to override system instructions or hidden policies.,Prompt injection attacks try to override system instructions or hidden policies. This version also names the guardrail or metric used in production.,A,Answer selected for factual coverage and relevance.,A,Swapped order to reduce position bias.,A
10,What does Lab 24 say about llama guard?,Llama Guard checks assistant outputs for safety categories before returning them to users.,Llama Guard checks assistant outputs for safety categories before returning them to users. This version also names the guardrail or metric used in production.,B,Answer selected for factual coverage and relevance.,B,Swapped order to reduce position bias.,B
11,What does Lab 24 say about latency benchmark?,"Latency benchmark reports P50, P95, and P99 for each guardrail layer.","Latency benchmark reports P50, P95, and P99 for each guardrail layer. This version also names the guardrail or metric used in production.",B,Answer selected for factual coverage and relevance.,B,Swapped order to reduce position bias.,B
12,What does Lab 24 say about audit log?,"Audit logs store inputs, decisions, timings, and guardrail labels for debugging.","Audit logs store inputs, decisions, timings, and guardrail labels for debugging. This version also names the guardrail or metric used in production.",B,Answer selected for factual coverage and relevance.,B,Swapped order to reduce position bias.,B
13,What does Lab 24 say about faithfulness?,Faithfulness measures whether the answer is supported by retrieved context.,Faithfulness measures whether the answer is supported by retrieved context. This version also names the guardrail or metric used in production.,A,Answer selected for factual coverage and relevance.,A,Swapped order to reduce position bias.,A
14,What does Lab 24 say about answer relevancy?,Answer relevancy measures whether the answer directly addresses the user's question.,Answer relevancy measures whether the answer directly addresses the user's question. This version also names the guardrail or metric used in production.,A,Answer selected for factual coverage and relevance.,tie,Swapped order to reduce position bias.,tie
